Address,Type,Flat(1)_House(0),Room,Bedroom,Area (m2),Sale Date,Sale_Since,Price (EUR),Price/m2
7 RUE LEMERCIER - PONTOISE,Appartement,1,1,1,24,05/2022,644,122000,5083.33
12T ALLEE DE COLBERT - ST OUEN L AUMONE,Maison,0,3,2,75,05/2022,644,290000,3866.67
2A RUE HENRI MATISSE - PONTOISE,Appartement,1,4,3,72,05/2022,644,220000,3055.56
6 CHEMIN DE LA PELOUSE - PONTOISE,Appartement,1,4,3,92,05/2022,644,378000,4108.7
2 RUE SAINT JEAN - PONTOISE,Appartement,1,4,3,69,05/2022,644,235000,3405.8
31 RUE DE LA GARE - ST OUEN L AUMONE,Appartement,1,2,1,27,05/2022,644,98000,3629.63
88 RUE DES ETANNETS - PONTOISE,Appartement,1,3,2,49,05/2022,644,225000,4591.84
58 RUE SAINT MARTIN - PONTOISE,Appartement,1,3,2,63,05/2022,644,205000,3253.97
14 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,4,3,84,05/2022,644,155000,1845.24
11 AVENUE JEAN MERMOZ - PONTOISE,Maison,0,5,4,91,05/2022,644,480360,5278.68
24 AVENUE DU GENERAL SCHMITZ - PONTOISE,Maison,0,5,4,91,05/2022,644,420000,4615.38
12 RUE DE L OISE - ST OUEN L AUMONE,Appartement,1,3,2,65,05/2022,644,232000,3569.23
5B BOULEVARD DES CORDELIERS - PONTOISE,Appartement,1,4,3,74,05/2022,644,209000,2824.32
9006 SENTIER DES MORTAGNES - ST OUEN L AUMONE,Maison,0,2,1,49,05/2022,644,197183,4024.14
3B ALLEE DU CHATEAU VIEUX ST MARTIN - PONTOISE,Appartement,1,5,4,115,05/2022,644,438000,3808.7
75 RUE DE GISORS - PONTOISE,Appartement,1,2,1,34,05/2022,644,132000,3882.35
50 RUE DE ROUEN - PONTOISE,Maison,0,5,4,140,05/2022,644,235000,1678.57
13 AVENUE DU GENERAL DE GAULLE - ST OUEN L AUMONE,Appartement,1,2,1,50,05/2022,644,129000,2580.0
48 RUE ABEL GANCE - ST OUEN L AUMONE,Maison,0,5,4,92,04/2022,674,330000,3586.96
29 RUE SAINT MARTIN - PONTOISE,Appartement,1,2,1,49,04/2022,674,150000,3061.22
2C RUE HENRI MATISSE - PONTOISE,Appartement,1,3,2,70,04/2022,674,178300,2547.14
10 RUE ALBERT CAMUS - PONTOISE,Maison,0,5,4,96,04/2022,674,305000,3177.08
45 RUE DE MAUBUISSON - ST OUEN L AUMONE,Appartement,1,1,1,29,04/2022,674,119730,4128.62
13 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,4,3,81,04/2022,674,93000,1148.15
14 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,3,2,68,04/2022,674,129000,1897.06
9 PLACE DE LA PISCINE - PONTOISE,Appartement,1,3,2,71,04/2022,674,215000,3028.17
1C RUE LUDOVIC PIETTE - PONTOISE,Maison,0,5,4,86,04/2022,674,368000,4279.07
5 RUE DE L ORDRE - PONTOISE,Appartement,1,2,1,41,04/2022,674,188000,4585.37
13B RUE GUY SOURCIS - ST OUEN L AUMONE,Maison,0,3,2,49,04/2022,674,190000,3877.55
9001 RUE WALDECK ROUSSEAU - ST OUEN L AUMONE,Appartement,1,3,2,101,04/2022,674,251000,2485.15
7 RUE DE L EPERON - PONTOISE,Appartement,1,1,1,17,04/2022,674,17800,1047.06
7 RUE SAINT JEAN - PONTOISE,Maison,0,7,6,204,04/2022,674,715000,3504.9
14 RUE DE GISORS - PONTOISE,Appartement,1,2,1,40,04/2022,674,115000,2875.0
10B IMPASSE D ENNERY - PONTOISE,Maison,0,2,1,45,04/2022,674,222000,4933.33
16 ALLEE DE COLBERT - ST OUEN L AUMONE,Maison,0,3,2,46,04/2022,674,297000,6456.52
12 RUE DU GENERAL LECLERC - ST OUEN L AUMONE,Appartement,1,5,4,101,04/2022,674,273000,2702.97
13 RUE THIERS - PONTOISE,Appartement,1,2,1,40,04/2022,674,146700,3667.5
24 RUE DE LA BRETONNERIE - PONTOISE,Appartement,1,4,3,67,04/2022,674,273500,4082.09
2 RUE RICHEBOURG - PONTOISE,Maison,0,3,2,74,04/2022,674,530000,7162.16
49 RUE VICTOR HUGO - PONTOISE,Appartement,1,1,1,72,04/2022,674,171500,2381.94
2 RUE ALBERT THOMAS - PONTOISE,Appartement,1,3,2,64,04/2022,674,130000,2031.25
2 SENTIER DES MATHURINS - PONTOISE,Maison,0,4,3,99,04/2022,674,299550,3025.76
61 RUE ERIC DE MARTIMPREY - PONTOISE,Maison,0,8,7,135,04/2022,674,660000,4888.89
58 RUE DU MAIL - ST OUEN L AUMONE,Maison,0,4,3,78,04/2022,674,300000,3846.15
15 RUE PIERRE BUTIN - PONTOISE,Appartement,1,1,1,23,04/2022,674,119000,5173.91
4 RUE TRUFFAUT - PONTOISE,Appartement,1,1,1,28,04/2022,674,121000,4321.43
57 RUE ERIC DE MARTIMPREY - PONTOISE,Appartement,1,2,1,60,03/2022,705,180000,3000.0
4 BOULEVARD JEAN JAURES - PONTOISE,Appartement,1,3,2,59,03/2022,705,233000,3949.15
5 AVENUE DE L UNION - ST OUEN L AUMONE,Appartement,1,3,2,46,03/2022,705,180000,3913.04
92 RUE PIERRE BUTIN - PONTOISE,Appartement,1,3,2,61,03/2022,705,263600,4321.31
38 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,4,3,82,03/2022,705,135000,1646.34
14 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,5,4,105,03/2022,705,215000,2047.62
4 RUE SAINT HENRI - ST OUEN L AUMONE,Maison,0,4,3,98,03/2022,705,285000,2908.16
11 RUE DE LA CORNE - PONTOISE,Appartement,1,2,1,36,03/2022,705,170450,4734.72
43 RUE SAINT MARTIN - PONTOISE,Appartement,1,2,1,49,03/2022,705,147500,3010.2
1 RUE DE GISORS - PONTOISE,Appartement,1,1,1,38,03/2022,705,120000,3157.89
7 RUE SERE DEPOIN - PONTOISE,Appartement,1,2,1,38,03/2022,705,140000,3684.21
