Address,Room,Area (m²),Sale Date,Price (€)
3 RUE PAUL JANET - GRENOBLE,5,28,01/2022,92000
15 AVENUE DE GRENOBLE - SEYSSINS,2,80,01/2022,201500
6 AVENUE DU VERCORS - FONTAINE,4,66,01/2022,95000
58 RUE DES ALPES - FONTAINE,4,73,01/2022,165900
6 AVENUE DU VERCORS - FONTAINE,2,89,01/2022,160000
12 AVENUE RHIN ET DANUBE - GRENOBLE,4,43,01/2022,130000
14 RUE LEON JOUHAUX - GRENOBLE,3,70,01/2022,165000
6 RUE LEON JOUHAUX - GRENOBLE,4,70,01/2022,172000
9 ALLEE DU PARC GEORGES POMPIDOU - GRENOBLE,1,52,01/2022,155000
33 RUE DEPORTES 11 NOVEMBRE 1943 - GRENOBLE,2,89,01/2022,246400
18 AVENUE FELIX-VIALLET - GRENOBLE,3,90,01/2022,330000
37 RUE JEAN MACE - GRENOBLE,3,84,01/2022,250600
7 RUE GUY MOQUET - GRENOBLE,4,19,01/2022,58000
18 RUE MOZART - GRENOBLE,4,60,01/2022,140000
55 AVENUE DOYEN LOUIS WEIL - GRENOBLE,5,63,01/2022,156000
77 RUE AMPERE - GRENOBLE,4,81,01/2022,177000
14 RUE MOYRAND - GRENOBLE,3,66,01/2022,160550
2 PLACE LOUIS JOUVET - GRENOBLE,2,82,01/2022,126100
6 PLACE LOUIS JOUVET - GRENOBLE,4,88,01/2022,120000
3 RUE THIERS - GRENOBLE,1,89,01/2022,335000
11 RUE ROMAIN ROLLAND - FONTAINE,4,53,01/2022,95000
9 RUE HENRI BARBUSSE - FONTAINE,4,54,01/2022,115750
3 RUE DE PARIS - FONTAINE,4,90,01/2022,365150
12 RUE HUMBERT 2 - GRENOBLE,1,40,01/2022,128000
2 RUE LEON JOUHAUX - GRENOBLE,3,67,01/2022,171000
13 RUE ANDRE ABRY - GRENOBLE,3,61,01/2022,126350
162 AVENUE DE LA REPUBLIQUE - SEYSSINET-PARISET,4,63,01/2022,155000
8 PLACE JEAN-MOULIN - GRENOBLE,2,35,01/2022,55000
11 AVENUE AMBROISE CROIZAT - SAINT-MARTIN-D'HERES,3,57,01/2022,168000
87 AVENUE LA BRUYERE - GRENOBLE,2,61,01/2022,144600
17 RUE CASIMIR BRENIER - GRENOBLE,4,89,01/2022,290000
56 BOULEVARD JOSEPH VALLIER - GRENOBLE,3,50,01/2022,128000
53 BOULEVARD JOSEPH VALLIER - GRENOBLE,3,53,01/2022,108000
2 RUE PIERRE ARTHAUD - GRENOBLE,4,61,01/2022,180000
